code,name,city,country,latitude_deg,longitude_deg
SUS,Spirit of St Louis Airport,St Louis,United States,38.662102,-90.652
SUU,Travis Air Force Base,Fairfield,United States,38.262699,-121.927002
SUV,Nausori International Airport,Nausori,Fiji,-18.044226,178.561486
SUX,Sioux Gateway Airport / Brigadier General Bud Day Field,Sioux City,United States,42.397605,-96.382237
SVA,Savoonga Airport,Savoonga,United States,63.686401,-170.492996
SVB,Sambava Airport,Sambava,Madagascar,-14.2786,50.174702
SVC,Grant County Airport,Silver City,United States,32.636701,-108.154736
SVD,Argyle International Airport,Kingstown,Saint Vincent and the Grenadines,13.159725,-61.148801
SVG,"Stavanger Airport, Sola",Stavanger,Norway,58.876701,5.63778
SVI,Eduardo Falla Solano Airport,San Vicente Del Caguán,Colombia,2.15217,-74.7663
SVJ,"Svolvær Airport, Helle",Svolvær,Norway,68.243301,14.6692
SVL,Savonlinna Airport,Savonlinna,Finland,61.9431,28.945101
SVN,Hunter Army Air Field,Savannah,United States,32.00999832,-81.14569855
SVO,Sheremetyevo International Airport,Moscow,Russia,55.976858,37.41121
SVP,Kuito Airport,Kuito,Angola,-12.404600143433,16.947399139404
SVQ,Seville Airport,Seville,Spain,37.417999,-5.89311
SVW,Sparrevohn LRRS Airport,Sparrevohn,United States,61.09740067,-155.5740051
SVX,Koltsovo Airport,Yekaterinburg,Russia,56.743099212646,60.802700042725
SVZ,Juan Vicente Gómez International Airport,San Antonio del Tachira,Venezuela,7.840809,-72.439878
SWA,Jieyang Chaoshan International Airport,Jieyang (Rongcheng),China,23.552,116.5033
SWD,Seward Airport,Seward,United States,60.130478,-149.418612
SWF,New York Stewart International Airport,Newburgh,United States,41.50421,-74.108901
SWO,Stillwater Regional Airport,Stillwater,United States,36.162132,-97.085581
SWS,Swansea Airport,Swansea,United Kingdom,51.601366,-4.071006
SWT,Strezhevoy Airport,Strezhevoy,Russia,60.7094,77.660004
SWU,Suwon Airport,Suwon,South Korea,37.239399,127.007004
SWV,Severo-Evensk Airport,Evensk,Russia,61.921786,159.229059
SXB,Strasbourg Airport,Strasbourg,France,48.5383,7.62823
SXE,West Sale Airport,Sale,Australia,-38.090827,146.965335
SXI,Siri Airport,Siri,Iran,25.908899,54.539398
SXJ,Shanshan Airport,Shanshan,China,42.911701,90.247498
SXL,Sligo Airport,Sligo,Ireland,54.280200958252,-8.5992097854614
SXM,Princess Juliana International Airport,Sint Maarten,Sint Maarten,18.041,-63.108898
SXN,Sua Pan Airport,Sowa,Botswana,-20.5534,26.115801
SXQ,Soldotna Airport,Soldotna,United States,60.474935,-151.038471
SXR,Sheikh ul Alam International Airport,Srinagar,India,33.987099,74.7742
SXV,Salem Airport,Salem,India,11.78330039978,78.06559753418
SXZ,Siirt Airport,Siirt,Turkey,37.97890090942383,41.84040069580078
SYA,Eareckson Air Station,Shemya,United States,52.71229935,174.1139984
SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),Australia,-33.946098,151.177002
SYJ,Sirjan Airport,Sirjan,Iran,29.5509,55.672699
SYO,Shonai Airport,Shonai,Japan,38.812199,139.787003
SYP,Ruben Cantu Airport,Santiago,Panama,8.085599899291992,-80.94529724121094
SYQ,Tobías Bolaños International Airport,San Jose,Costa Rica,9.95705,-84.139801
SYR,Syracuse Hancock International Airport,Syracuse,United States,43.11119842529297,-76.1063003540039
SYS,Saskylakh Airport,Saskylakh,Russia,71.927902,114.080002
SYT,Saint-Yan Airport,"L'Hôpital-le-Mercier, Saône-et-Loire",France,46.414019,4.014177
SYW,Sehwan Sharif Airport,Sehwan Sharif,Pakistan,26.473101,67.717201
SYX,Sanya Phoenix International Airport,Sanya (Tianya),China,18.3029,109.412003
SYY,Stornoway Airport,"Stornoway, Western Isles",United Kingdom,58.215599,-6.33111
SYZ,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,29.5392,52.589802
SZA,Soyo Airport,Soyo,Angola,-6.141089916229248,12.371800422668457
SZB,Sultan Abdul Aziz Shah International Airport,Subang,Malaysia,3.13058,101.549004
SZF,Samsun-Çarşamba Airport,Samsun,Turkey,41.253988,36.567546
SZG,Salzburg Airport,Salzburg,Austria,47.793301,13.0043
SZH,Shuozhou Zirun Airport,Shuozhou,China,39.273241,112.691552
SZJ,Siguanea Airport,Isla de la Juventud,Cuba,21.6425,-82.955101
SZK,Skukuza Airport,Skukuza,South Africa,-24.96085,31.588587
SZL,Whiteman Air Force Base,Knob Noster,United States,38.730301,-93.547897
SZV,Suzhou Guangfu Airport,Suzhou,China,31.2631,120.401001
SZX,Shenzhen Bao'an International Airport,Shenzhen,China,22.639474,113.803262
SZY,Olsztyn-Mazury Airport,Szymany,Poland,53.481899,20.9377
SZZ,Solidarity Szczecin–Goleniów Airport,Szczecin(Glewice),Poland,53.584702,14.9022
TAB,A.N.R. Robinson International Airport,Scarborough,Trinidad and Tobago,11.149571,-60.831298
TAC,Daniel Z. Romualdez Airport,Tacloban City,Philippines,11.227761,125.027783
TAE,Daegu International Airport,Daegu,South Korea,35.894394,128.656989
TAF,Oran Tafraoui Airport,Tafraoui,Algeria,35.5424,-0.532278
TAG,Bohol-Panglao International Airport,Panglao,Philippines,9.573045,123.770143
TAH,Whitegrass Airport,Tanna Island,Vanuatu,-19.455099,169.223999
TAI,Taiz International Airport,Taiz,Yemen,13.686,44.139099
TAK,Takamatsu Airport,Takamatsu,Japan,34.214963,134.015454
TAM,General Francisco Javier Mina International Airport,Ciudad Madero,Mexico,22.292622,-97.867058
TAO,Qingdao Jiaodong International Airport,Qingdao (Jiaozhou),China,36.361953,120.088171
TAP,Tapachula International Airport,Tapachula,Mexico,14.794549,-92.369871
TAR,Taranto-Grottaglie Marcello Arlotta Airport,Grottaglie,Italy,40.517502,17.4032
TAS,Tashkent International Airport,Tashkent,Uzbekistan,41.2579,69.281197
TAT,Poprad-Tatry Airport,Poprad,Slovakia,49.070994,20.241394
TAY,Tartu Airport,Tartu,Estonia,58.307438,26.686473
TAZ,Dashoguz International Airport,Daşoguz,Turkmenistan,41.759853,59.836149
TBB,Dong Tac Airport,Tuy Hoa,Vietnam,13.0496,109.334
TBH,Tugdan Airport,Tablas Island,Philippines,12.3109998703,122.084999084
TBI,New Bight Airport,Cat Island,Bahamas,24.3153,-75.452301
TBJ,Tabarka-Aïn Draham International Airport,Tabarka,Tunisia,36.98,8.87694
TBN,Waynesville-St. Robert Regional Airport-Forney Field,Fort Leonard Wood,United States,37.7416,-92.140701
TBP,Captain Pedro Canga Rodríguez International Airport,Tumbes,Peru,-3.552074,-80.381086
TBS,Tbilisi International Airport,Tbilisi,Georgia,41.669201,44.9547
TBT,Tabatinga International Airport,Tabatinga,Brazil,-4.25567,-69.935799
TBU,Fua'amotu International Airport,Nuku'alofa,Tonga,-21.241438,-175.149164
TBW,Donskoye Airport,Tambov,Russia,52.806099,41.4828
TBZ,Tabriz International Airport,Tabriz,Iran,38.1339,46.235001
TCA,Tennant Creek Airport,Tennant Creek,Australia,-19.6343994140625,134.18299865722656
TCB,Treasure Cay Airport,Treasure Cay,Bahamas,26.745300293,-77.3912963867
TCC,Tucumcari Municipal Airport,Tucumcari,United States,35.182800293,-103.602996826
TCE,Tulcea Danube Delta Airport,Mihail Kogălniceanu,Romania,45.0625,28.7143
TCL,Tuscaloosa National Airport,Tuscaloosa,United States,33.2206,-87.611397
TCM,McChord Air Force Base,Tacoma,United States,47.137699,-122.475998
TCO,La Florida Airport,Tumaco,Colombia,1.81442,-78.7492
TCP,Taba International Airport,Taba,Egypt,29.594496,34.775752
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,Peru,-18.053300857500002,-70.2758026123
TCS,Truth or Consequences Municipal Airport,Truth or Consequences,United States,33.2369,-107.272003
TCX,Tabas Airport,Tabas,Iran,33.667801,56.8927
TCZ,Tengchong Tuofeng Airport,Baoshan (Tengchong),China,24.938056,98.485833
TDD,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,Bolivia,-14.8187,-64.917999
TDG,Tandag Airport,Tandag,Philippines,9.072002,126.17132
TDK,Taldykorgan Airport,Taldykorgan,Kazakhstan,45.12255,78.442758
TDL,Héroes de Malvinas Airport,Tandil,Argentina,-37.234634,-59.228647
TDX,Trat Airport,Laem Ngop,Thailand,12.2746,102.319
TEA,Tela Airport,Tela,Honduras,15.7759,-87.4758
TEB,Teterboro Airport,Teterboro,United States,40.850101,-74.060799
TEC,Telêmaco Borba Airport,Telêmaco Borba,Brazil,-24.317801,-50.6516
TED,Thisted Airport,Thisted,Denmark,57.068802,8.70522
TEE,Cheikh Larbi Tébessi Airport,Tébessi,Algeria,35.4315986633,8.12071990967
TEM,Temora Airport,Temora,Australia,-34.421398,147.511993
TEN,Tongren Fenghuang Airport,Tongren (Daxing),China,27.883333,109.308889
TEQ,Tekirdağ Çorlu Airport,Çorlu,Turkey,41.138199,27.9191
TER,Lajes Airport,Praia da Vitória,Portugal,38.761799,-27.090799
TET,Tete Airport,Tete,Mozambique,-16.104799,33.640202
TEV,Teruel Airport,Teruel,Spain,40.410269,-1.217366
TEX,Telluride Regional Airport,Telluride,United States,37.9538,-107.907997
TFF,Tefé Airport,Tefé,Brazil,-3.38294,-64.724098
TFN,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,Spain,28.482752,-16.341707
TFS,Tenerife Sur Airport,Tenerife,Spain,28.0445,-16.5725
TFU,Chengdu Tianfu International Airport,Chengdu (Jianyang),China,30.31252,104.441284
TGA,Tengah Air Base,Western Water Catchment,Singapore,1.387561,103.708291
TGD,Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,Montenegro,42.359402,19.2519
TGG,Sultan Mahmud Airport,Kuala Terengganu,Malaysia,5.3826398849487305,103.10299682617188
TGJ,Tiga Airport,Tiga,New Caledonia,-21.096407,167.80379
TGK,Taganrog Yuzhny Airport,Taganrog,Russia,47.1983333,38.8491667
TGM,Târgu Mureş Transilvania International Airport,Recea,Romania,46.467701,24.4125
TGN,Latrobe Valley Airport,Morwell,Australia,-38.211004,146.470817
TGO,Tongliao Airport,Tongliao,China,43.556702,122.199997
TGP,Podkamennaya Tunguska Airport,Bor,Russia,61.589699,89.994003
TGR,Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.067799,6.08867
TGT,Tanga Airport,Tanga,Tanzania,-5.09236,39.071201
TGU,Toncontín Airport,Tegucigalpa,Honduras,14.0609,-87.217201
TGZ,Angel Albino Corzo International Airport,Tuxtla Gutiérrez,Mexico,16.561611,-93.025731
THE,Senador Petrônio Portela Airport,Teresina,Brazil,-5.06025,-42.823712
THG,Thangool Airport,Biloela,Australia,-24.494863,150.577967
THL,Tachileik Airport,Tachileik,Myanmar,20.483800888061523,99.9354019165039
THN,Trollhättan-Vänersborg Airport,Trollhättan,Sweden,58.31809997558594,12.345000267028809
THQ,Tianshui Maijishan Airport,Tianshui (Maiji),China,34.5601,105.860343
THR,Mehrabad International Airport,Tehran,Iran,35.689175,51.314392
THU,Pituffik Space Base,Pituffik,Greenland,76.53063,-68.700541
THZ,Tahoua Airport,Tahoua,Niger,14.8757,5.26536
TIA,Tirana International Airport Mother Teresa,Rinas,Albania,41.4147,19.7206
TID,Abdelhafid Boussouf Bou Chekif Airport,Tiaret,Algeria,35.341099,1.46315
TIF,Taif International Airport,Taif,Saudi Arabia,21.484739,40.544074
TIH,Tikehau Airport,Tuherahera,French Polynesia,-15.1196,-148.231003
TIJ,General Abelardo L. Rodriguez International Airport,Tijuana,Mexico,32.541043,-116.969976
TIK,Tinker Air Force Base,Oklahoma City,United States,35.4147,-97.386597
TIM,Mozes Kilangin Airport,Timika,Indonesia,-4.52978,136.887388
TIN,Tindouf Airport,Tindouf,Algeria,27.7003993988,-8.167099952700001
TIQ,Francisco Manglona Borja / Tinian International Airport,Tinian Island,Northern Mariana Islands,14.999207,145.619355
TIR,Tirupati International Airport,Tirupati,India,13.631988,79.539869
TIV,Tivat Airport,Tivat,Montenegro,42.404701,18.723301
TIW,Tacoma Narrows Airport,Tacoma,United States,47.267407,-122.577295
TIX,Space Coast Regional Airport,Titusville,United States,28.514799118042,-80.799201965332
TJA,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,-21.5557,-64.701302
TJG,Warukin Airport,Tanta-Tabalong,Indonesia,-2.21656,115.435997
TJH,Konotori Tajima Airport,Toyooka,Japan,35.512798,134.787003
TJI,Trujillo Airport,Trujillo,Honduras,15.926599,-85.938573
TJK,Tokat Airport,Tokat,Turkey,40.32472,36.39056
TJM,Roshchino International Airport,Tyumen,Russia,57.178984,65.327696
TJU,Kulob International Airport,Kulob,Tajikistan,37.988098,69.805
TKA,Talkeetna Airport,Talkeetna,United States,62.320499420166,-150.09399414062
TKC,Tiko Airport,Tiko,Cameroon,4.08919000626,9.360529899600001
TKD,Takoradi Airport,Sekondi-Takoradi,Ghana,4.896059989929199,-1.7747600078582764
TKF,Truckee Tahoe Airport,Truckee,United States,39.318628,-120.140562
TKG,Radin Inten II International Airport,Bandar Lampung,Indonesia,-5.246803,105.182531
TKH,Takhli Royal Thai Air Force Base,Takhli,Thailand,15.2773,100.295998
TKK,Chuuk International Airport,Weno Island,Micronesia,7.46187,151.843002
TKN,Tokunoshima Airport,Amagi,Japan,27.836382,128.881356
TKS,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,Tokushima,Japan,34.132559,134.607816
TKU,Turku Airport,Turku,Finland,60.514099,22.2628
TLC,Adolfo López Mateos International Airport,Toluca,Mexico,19.3369,-99.56583
TLE,Toliara Airport,Toliara,Madagascar,-23.3834,43.7285
TLH,Tallahassee International Airport,Tallahassee,United States,30.401209,-84.35433
TLJ,Tatalina LRRS Airport,Takotna,United States,62.894401550299996,-155.977005005
TLL,Lennart Meri Tallinn Airport,Tallinn,Estonia,59.413246,24.83264
TLM,Zenata – Messali El Hadj Airport,Zenata,Algeria,35.012732,-1.457117
TLN,Toulon-Hyères Airport,"Hyères, Var",France,43.097301,6.14603
TLQ,Turpan Jiaohe Airport,Turpan,China,43.0308,89.0987
TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac,France,43.629101,1.36382
TLV,Ben Gurion International Airport,Tel Aviv,Israel,32.011398,34.8867
TLX,Panguilemo Airport,Talca,Chile,-35.3778,-71.6017
TMB,Miami Executive Airport,Miami,United States,25.6479,-80.4328
TME,Gustavo Vargas Airport,Tame,Colombia,6.45108,-71.7603
TMH,Tanah Merah Airport,Tanah Merah,Indonesia,-6.09669,140.303521
TMJ,Termez Airport,Termez,Uzbekistan,37.287261,67.311869
TML,Yakubu Tali International Airport,Tamale,Ghana,9.553909,-0.86606
TMM,Toamasina Ambalamanasy Airport,Toamasina,Madagascar,-18.113537,49.392262
TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,Finland,61.414101,23.604401
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.810992,5.450832
TMS,São Tomé International Airport,São Tomé,São Tomé and Principe,0.378175,6.71215
TMT,Trombetas Airport,Oriximiná,Brazil,-1.4896,-56.396801
TMW,Tamworth Airport,Tamworth,Australia,-31.077898,150.845484
TMX,Timimoun Airport,Timimoun,Algeria,29.237101,0.276033
TNA,Jinan Yaoqiang International Airport,Jinan (Licheng),China,36.857201,117.216003
TND,Alberto Delgado Airport,Trinidad,Cuba,21.7883,-79.9972
TNE,New Tanegashima Airport,Tanegashima,Japan,30.605100631699997,130.990997314
TNF,Toussus-le-Noble Airport,"Toussus-le-Noble, Yvelines",France,48.7519,2.10619
TNG,Tangier Ibn Battuta Airport,Tangier,Morocco,35.731741,-5.921459
TNH,Tonghua Sanyuanpu Airport,Tonghua,China,42.048435,125.733963
TNJ,Raja Haji Fisabilillah International Airport,Tanjung Pinang-Bintan Island,Indonesia,0.92397,104.53341
TNN,Tainan International Airport / Tainan Air Base,Tainan (Rende),Taiwan,22.950399,120.206001
TNR,Ivato International Airport,Antananarivo,Madagascar,-18.7969,47.478802
TNW,Jumandy Airport,Ahuano,Ecuador,-1.060185,-77.580525
TOD,Tioman Airport,Tioman Island,Malaysia,2.81818,104.160004
TOE,Tozeur Nefta International Airport,Tozeur,Tunisia,33.939701080322266,8.110560417175293
TOF,Tomsk Kamov Airport,Tomsk,Russia,56.380299,85.208298
TOI,Troy Municipal Airport at N Kenneth Campbell Field,Troy,United States,31.860399,-86.012101
TOJ,Madrid–Torrejón Airport / Torrejón Air Base,Madrid,Spain,40.487875,-3.456808
TOL,Eugene F. Kranz Toledo Express Airport,Toledo,United States,41.5868,-83.8078
TOM,Tombouktou Airport,Timbuktu,Mali,16.730499,-3.00758
TOP,Philip Billard Municipal Airport,Topeka,United States,39.069899,-95.622606
TOQ,Barriles Airport,Tocopilla,Chile,-22.1411,-70.062897
TOS,Tromsø Airport,Tromsø,Norway,69.683296,18.9189
TOU,Touho Airport,Touho,New Caledonia,-20.790127,165.259524
TOY,Toyama Kitokito Airport,Toyama,Japan,36.648416,137.187359
TPA,Tampa International Airport,Tampa,United States,27.9755,-82.533203
TPC,Tarapoa Airport,Tarapoa,Ecuador,-0.122956,-76.337799
TPE,Taiwan Taoyuan International Airport,Taoyuan,Taiwan,25.0777,121.233002
TPH,Tonopah Airport,Tonopah,United States,38.06019974,-117.086998
TPJ,Taplejung Airport,Taplejung,Nepal,27.3509,87.69525
TPL,Draughon Miller Central Texas Regional Airport,Temple,United States,31.1525,-97.407799
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,-6.508739948272705,-76.37319946289062
TPQ,Amado Nervo National Airport,Tepic,Mexico,21.419833,-104.842472
TPS,Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),Italy,37.9114,12.488
TQD,Al Taqaddum Air Base,Al Habbaniyah,Iraq,33.33810043335,43.597099304199
TQO,Felipe Carrillo Puerto International Airport Tulum,Tulum,Mexico,20.172098,-87.660272
TQS,Captain Ernesto Esguerra Cubides Air Base,Tres Esquinas,Colombia,0.7459,-75.234
TRA,Tarama Airport,Tarama,Japan,24.653793,124.675453
TRC,Francisco Sarabia Tinoco International Airport,Torreón,Mexico,25.562265,-103.404608
TRD,"Trondheim Airport, Værnes",Trondheim,Norway,63.457802,10.924
TRE,Tiree Airport,"Balemartine, Argyll and Bute",United Kingdom,56.499199,-6.86917
TRF,"Sandefjord Airport, Torp",Sandefjord(Torp),Norway,59.186699,10.2586
TRG,Tauranga Airport,Tauranga,New Zealand,-37.67190170288086,176.1959991455078
TRI,Tri-Cities Regional TN/VA Airport,Blountville,United States,36.475201,-82.407401
TRK,Juwata International Airport / Suharnoko Harbani AFB,Tarakan,Indonesia,3.325145,117.564169
TRM,Jacqueline Cochran Regional Airport,Palm Springs,United States,33.62670135498,-116.16000366211
TRN,Turin Airport,Caselle Torinese (TO),Italy,45.200802,7.64963
TRO,Taree Airport,Taree,Australia,-31.888599,152.514008
TRQ,Tarauacá Airport,Tarauacá,Brazil,-8.155534,-70.782985
TRR,China Bay Airport,Trincomalee,Sri Lanka,8.539159,81.18128
TRS,Trieste Airport,Ronchi dei Legionari/Trieste,Italy,45.827862,13.466672
TRT,Toraja Airport,Toraja,Indonesia,-3.185833,119.91775
TRU,Capitán FAP Carlos Martínez de Pinillos International Airport,Trujillo,Peru,-8.082382,-79.108821
TRV,Thiruvananthapuram International Airport,Thiruvananthapuram,India,8.481889,76.920029
TRW,Bonriki International Airport,South Tarawa,Kiribati,1.38164,173.147003
TRZ,Tiruchirappalli International Airport,Tiruchirappalli,India,10.762915,78.717741
TSA,Taipei Songshan International Airport,Taipei (Songshan),Taiwan,25.067244,121.552822
TSB,Tsumeb Airport,Tsumeb,Namibia,-19.262079,17.732509
TSF,Treviso Airport,Treviso (TV),Italy,45.648399,12.1944
TSJ,Tsushima Airport,Tsushima,Japan,34.2849006653,129.330993652
TSM,Taos Regional Airport,Taos,United States,36.452494,-105.67749
TSN,Tianjin Binhai International Airport,Tianjin,China,39.124401092499994,117.346000671
TSR,Timișoara Traian Vuia International Airport,Timişoara,Romania,45.809898,21.3379
TST,Trang Airport,Trang,Thailand,7.50874,99.6166
TSV,Townsville Airport / RAAF Base Townsville,Townsville,Australia,-19.252904,146.766512
TTA,Tan Tan Airport,Tan Tan,Morocco,28.447563,-11.161749
TTC,Las Breas Airport,Taltal,Chile,-25.564301,-70.3759
TTD,Portland Troutdale Airport,Portland,United States,45.54940032959,-122.40100097656
TTE,Sultan Babullah Airport,Ternate,Indonesia,0.831012,127.381611
TTG,General Enrique Mosconi Airport,Tartagal,Argentina,-22.616877,-63.793015
TTH,Thumrait Air Base,Thumrait,Oman,17.666,54.024601
TTJ,Tottori Sand Dunes Conan Airport,Tottori,Japan,35.530058,134.165023
TTN,Trenton Mercer Airport,Ewing Township,United States,40.276699,-74.813499
TTT,Taitung Airport,Taitung City,Taiwan,22.754856,121.101794
